reading from ../data/room14.txt
538 T 26.8125
539 T 26.75
540 T 26.75
541 T 26.8125
542 T 26.75
543 T 26.75
544 T 26.75
545 T 26.75
546 T 26.75
547 T 26.75
548 T 26.75
549 T 26.75
550 T 26.75
551 T 26.75
552 T 26.75
553 T 26.8125
554 T 26.75
555 T 26.75
556 T 26.6875
557 T 26.75
558 T 26.75
559 T 26.6875
560 T 26.75
561 T 26.75
562 T 26.75
563 T 26.75
564 T 26.75
565 T 26.75
566 T 26.75
567 T 26.75
568 T 26.75
569 T 26.75
570 T 26.75
571 T 26.6875
572 T 26.75
573 T 26.6875
574 T 26.75
575 T 26.75
576 T 26.75
577 T 26.75
578 T 26.75
579 T 26.75
580 T 26.75
581 T 26.75
582 T 26.6875
583 T 26.75
584 T 26.75
585 T 26.75
586 T 26.75
587 T 26.75
588 T 26.75
589 T 26.75
590 T 26.75
591 T 26.6875
592 T 26.75
593 T 26.6875
594 T 26.75
595 T 26.75
596 T 26.75
597 T 26.75
598 T 26.75
599 T 26.6875
600 T 26.6875
601 T 26.75
602 T 26.75
603 T 26.6875
604 T 26.6875
605 T 26.75
606 T 26.6875
607 T 26.6875
608 T 26.75
609 T 26.6875
610 T 26.6875
611 T 26.6875
612 T 26.6875
613 T 26.75
614 T 26.6875
615 T 26.6875
616 T 26.6875
617 T 26.6875
618 T 26.75
619 T 26.6875
620 T 26.6875
621 T 26.6875
622 T 26.6875
623 T 26.75
624 T 26.6875
625 T 26.6875
626 T 26.6875
627 T 26.6875
628 T 26.6875
629 T 26.6875
630 T 26.6875
631 T 26.75
632 T 26.6875
633 T 26.6875
634 T 26.6875
635 T 26.6875
636 T 26.6875
637 T 26.6875
638 T 26.6875
639 T 26.6875
640 T 26.6875
641 T 26.6875
642 T 26.6875
643 T 26.6875
644 T 26.625
645 T 26.6875
646 T 26.6875
647 T 26.6875
648 T 26.6875
649 T 26.6875
650 T 26.6875
651 T 26.6875
652 T 26.6875
653 T 26.6875
654 T 26.625
655 T 26.6875
656 T 26.625
657 T 26.625
658 T 26.6875
659 T 26.6875
660 T 26.625
661 T 26.6875
662 T 26.625
663 T 26.6875
664 T 26.625
665 T 26.6875
666 T 26.625
667 T 26.6875
668 T 26.625
669 T 26.6875
670 T 26.625
671 T 26.625
672 T 26.6875
673 T 26.6875
674 T 26.625
675 T 26.625
676 T 26.625
677 T 26.625
678 T 26.6875
679 T 26.625
680 T 26.625
681 T 26.6875
682 T 26.6875
683 T 26.625
684 T 26.625
685 T 26.625
686 T 26.625
687 T 26.625
688 T 26.625
689 T 26.625
690 T 26.6875
691 T 26.625
692 T 26.625
693 T 26.625
694 T 26.625
695 T 26.625
696 T 26.625
697 T 26.6875
698 T 26.625
699 T 26.625
700 T 26.625
701 T 26.625
702 T 26.625
703 T 26.625
704 T 26.6875
705 T 26.625
706 T 26.625
707 T 26.625
708 T 26.625
709 T 26.6875
710 T 26.625
711 T 26.625
712 T 26.625
713 T 26.625
714 T 26.5625
715 T 26.625
716 T 26.625
717 T 26.625
718 T 26.625
719 T 26.5625
720 T 26.625
721 T 26.5625
722 T 26.625
723 T 26.625
724 T 26.625
725 T 26.625
726 T 26.625
727 T 26.5625
728 T 26.625
729 T 26.5625
730 T 26.625
731 T 26.625
732 T 26.5625
733 T 26.5625
734 T 26.5625
735 T 26.625
736 T 26.625
737 T 26.5625
738 T 26.625
739 T 26.5625
740 T 26.625
741 T 26.5625
742 T 26.5625
743 T 26.625
744 T 26.625
745 T 26.5625
746 T 26.5625
747 T 26.5625
748 T 26.625
749 T 26.5625
750 T 26.625
751 T 26.5625
752 T 26.5625
753 T 26.5625
754 T 26.5625
755 T 26.5625
756 T 26.5625
757 T 26.5625
758 T 26.5625
759 T 26.625
760 T 26.625
